gps_obssec(s),lat,lng,alt,vn,ve,hdop,no. of sats
43424.200,33.7139347,73.0883362,554.10,0.000,0.000,0.80,17
43424.300,33.7139347,73.0883362,554.10,0.000,0.000,0.80,17
43424.400,33.7139347,73.0883362,554.10,0.000,0.000,0.80,17
43424.500,33.7139347,73.0883362,554.10,0.000,0.000,0.80,17
43424.700,33.7139347,73.0883362,554.10,0.000,0.000,0.80,17
43424.800,33.7139347,73.0883362,554.10,0.000,0.000,0.80,17
43424.900,33.7139347,73.0883362,554.10,0.000,0.000,0.80,17
43425.000,33.7139347,73.0883362,554.10,0.000,0.000,0.80,17
43425.100,33.7139347,73.0883362,554.00,0.000,0.000,0.80,17
43425.200,33.7139348,73.0883362,554.00,0.000,0.000,0.80,17
43425.400,33.7139348,73.0883362,554.00,0.000,0.000,0.80,17
43425.500,33.7139348,73.0883362,554.00,0.000,0.000,0.80,17
43425.600,33.7139348,73.0883362,554.00,0.000,0.000,0.80,17
43425.700,33.7139348,73.0883362,554.00,0.000,0.000,0.80,17
43425.800,33.7139348,73.0883363,554.00,0.000,0.000,0.80,17
43425.900,33.7139348,73.0883363,554.00,0.000,0.000,0.80,17
43426.000,33.7139348,73.0883363,554.00,0.000,0.000,0.80,17
43426.200,33.7139348,73.0883363,554.00,0.000,0.000,0.80,17
43426.300,33.7139348,73.0883363,554.00,0.000,0.000,0.80,17
43426.400,33.7139348,73.0883363,554.00,0.000,0.000,0.80,17
43426.500,33.7139348,73.0883363,554.00,0.000,0.000,0.80,17
43426.600,33.7139348,73.0883363,554.00,0.000,0.000,0.80,17
43426.700,33.7139348,73.0883365,554.00,0.000,0.000,0.80,17
43426.800,33.7139348,73.0883365,554.00,0.000,0.000,0.80,17
43426.900,33.7139348,73.0883365,554.00,0.000,0.000,0.80,17
43427.000,33.7139348,73.0883365,554.00,0.000,0.000,0.80,17
43427.100,33.7139350,73.0883365,554.00,0.000,0.000,0.80,17
43427.300,33.7139350,73.0883365,554.00,0.000,0.000,0.80,17
43427.400,33.7139350,73.0883365,554.00,0.000,0.000,0.80,17
43427.500,33.7139350,73.0883367,554.00,0.000,0.000,0.80,17
43427.600,33.7139350,73.0883367,554.00,0.000,0.000,0.80,17
43427.800,33.7139350,73.0883367,554.00,0.000,0.000,0.80,17
43427.900,33.7139350,73.0883367,554.00,0.000,0.000,0.80,17
43428.000,33.7139350,73.0883367,554.00,0.000,0.000,0.80,17
43428.100,33.7139350,73.0883367,554.00,0.000,0.000,0.80,17
43428.200,33.7139350,73.0883367,554.00,0.000,0.000,0.80,17
43428.400,33.7139350,73.0883367,554.00,0.000,0.000,0.80,17
43428.500,33.7139350,73.0883367,554.00,0.000,0.000,0.80,17
43428.600,33.7139350,73.0883368,554.00,0.000,0.000,0.80,17
43428.700,33.7139350,73.0883368,554.00,0.000,0.000,0.80,17
43428.800,33.7139350,73.0883368,554.10,0.000,0.000,0.80,17
43429.000,33.7139350,73.0883368,554.10,0.000,0.000,0.80,17
43429.100,33.7139352,73.0883368,554.10,0.000,0.000,0.80,17
43429.200,33.7139352,73.0883368,554.10,0.000,0.000,0.80,17
43429.300,33.7139352,73.0883368,554.10,0.000,0.000,0.80,17
43429.500,33.7139352,73.0883368,554.10,0.000,0.000,0.80,17
43429.600,33.7139352,73.0883368,554.10,0.000,0.000,0.80,17
43429.700,33.7139352,73.0883368,554.10,0.000,0.000,0.80,17
43429.800,33.7139352,73.0883368,554.10,0.000,0.000,0.80,17
43429.900,33.7139352,73.0883370,554.10,0.000,0.000,0.80,17
43430.000,33.7139352,73.0883370,554.10,0.000,0.000,0.80,17
